Year,State,CO2(Metric Tons)
1995,Nebraska,5268831.692307692
1995,Nevada,3805923.789473684
1995,New Hampshire,672706.3703703703
1995,New Jersey,2686339.466666667
1995,New Mexico,5720664.0
1995,New York,5697858.6
1995,North Carolina,6660983.222222222
1995,North Dakota,6964599.294117647
1995,Ohio,16053769.103448275
1995,Oklahoma,6907911.2
1995,Oregon,551781.1666666666
1995,Pennsylvania,10162272.090909092
1995,Rhode Island,458617.05263157893
1995,South Carolina,4402482.5
1995,South Dakota,1181710.8
1995,Tennessee,9127178.923076924
1995,Texas,22231563.8
1995,Utah,5653373.714285715
1995,Vermont,8061.333333333333
1995,Virginia,3953865.7297297297
1995,Washington,1329784.8275862068
1995,West Virginia,11943289.44
1995,Wisconsin,4856014.777777778
1995,Wyoming,9237684.444444444
1996,Alabama,9640266.838709677
1996,Alaska,727424.695652174
1996,Arizona,6071935.090909091
1996,Arkansas,4913971.652173913
1996,California,3770473.76
1996,Colorado,5319298.461538462
1996,Connecticut,1507063.6
1996,Delaware,2269426.8571428573
1996,District of Columbia,135710.0
1996,Florida,10325836.837209303
1996,Georgia,8868681.5
1996,Hawaii,1365136.64
1996,Idaho,162192.23529411765
1996,Illinois,9074411.444444444
1996,Indiana,15572244.857142856
1996,Iowa,4794414.620689655
1996,Kansas,10305246.153846154
1996,Kentucky,29156490.90909091
1996,Louisiana,5963722.5
1996,Maine,514140.34285714285
1996,Maryland,3649785.375
1996,Massachusetts,2670032.2285714285
1996,Michigan,7766009.8
1996,Minnesota,4456284.645161291
1996,Mississippi,3691795.2
1996,Missouri,11276113.714285715
1996,Montana,2825596.2
1996,Nebraska,5268834.461538462
1996,Nevada,4098164.8421052634
1996,New Hampshire,618966.5714285715
1996,New Jersey,2466645.419354839
1996,New Mexico,5834302.2
1996,New York,4811294.7272727275
1996,North Carolina,7314721.189189189
1996,North Dakota,7282215.764705882
1996,Ohio,15541203.25
1996,Oklahoma,7074915.68
1996,Oregon,641463.5
1996,Pennsylvania,10527099.545454545
1996,Rhode Island,732274.0
1996,South Carolina,5067099.0
1996,South Dakota,1064239.2
1996,Tennessee,8666219.25925926
1996,Texas,22706936.097560976
1996,Utah,5444870.0
1996,Vermont,2628.0
1996,Virginia,4063362.2564102565
1996,Washington,1608142.5333333334
1996,West Virginia,12689734.08
1996,Wisconsin,5113685.333333333
1996,Wyoming,9430296.888888888
1997,Alabama,9409072.258064516
1997,Alaska,750389.3333333334
1997,Arizona,6607263.636363637
1997,Arkansas,4631252.521739131
1997,California,4177193.5833333335
1997,Colorado,5355686.0
1997,Connecticut,1932795.6
1997,Delaware,1970729.7142857143
1997,District of Columbia,90820.0
1997,Florida,10977157.61904762
1997,Georgia,8562887.885714285
1997,Hawaii,1353658.72
1997,Idaho,200543.76470588235
1997,Illinois,9845509.371428572
1997,Indiana,16238535.857142856
1997,Iowa,4777414.533333333
1997,Kansas,8915417.142857144
1997,Kentucky,30219635.636363637
1997,Louisiana,6482003.0
